# en | da | de | pl | el | fr | es | it | sv | nl
# Discover, chat, profile, server messages, notification titles
Clear search | Ryd søgning | Suche löschen | Wyczyść wyszukiwanie | Καθαρισμός αναζήτησης | Effacer la recherche | Borrar búsqueda | Cancella ricerca | Rensa sökning | Zoekopdracht wissen
Filters · %lld | Filtre · %lld | Filter · %lld | Filtry · %lld | Φίλτρα · %lld | Filtres · %lld | Filtros · %lld | Filtri · %lld | Filter · %lld | Filters · %lld
No studios within %lld km yet – %lld elsewhere. Search a city or country to find them. | Ingen studier inden for %lld km endnu – %lld andre steder. Søg på en by eller et land for at finde dem. | Noch keine Studios im Umkreis von %lld km – %lld anderswo. Suche nach einer Stadt oder einem Land. | Brak studiów w promieniu %lld km – %lld gdzie indziej. Wyszukaj miasto lub kraj. | Κανένα στούντιο σε %lld χλμ. ακόμα – %lld αλλού. Αναζήτησε πόλη ή χώρα. | Aucun studio dans un rayon de %lld km – %lld ailleurs. Cherche une ville ou un pays. | Aún no hay estudios a %lld km – %lld en otros lugares. Busca una ciudad o país. | Nessuno studio entro %lld km – %lld altrove. Cerca una città o un paese. | Inga studior inom %lld km än – %lld på andra ställen. Sök på en stad eller ett land. | Nog geen studio's binnen %lld km – %lld elders. Zoek op een stad of land.
%lld studios within %lld km | %lld studier inden for %lld km | %lld Studios im Umkreis von %lld km | %lld studiów w promieniu %lld km | %lld στούντιο σε %lld χλμ. | %lld studios dans un rayon de %lld km | %lld estudios a %lld km | %lld studi entro %lld km | %lld studior inom %lld km | %lld studio's binnen %lld km
%lld studios | %lld studier | %lld Studios | %lld studiów | %lld στούντιο | %lld studios | %lld estudios | %lld studi | %lld studior | %lld studio's
Max price | Maks. pris | Höchstpreis | Maks. cena | Μέγ. τιμή | Prix max. | Precio máx. | Prezzo max | Maxpris | Max. prijs
%lld km | %lld km | %lld km | %lld km | %lld χλμ. | %lld km | %lld km | %lld km | %lld km | %lld km
Any | Alle | Beliebig | Dowolnie | Οποιοδήποτε | Tous | Cualquiera | Qualsiasi | Alla | Alle
Availability | Ledighed | Verfügbarkeit | Dostępność | Διαθεσιμότητα | Disponibilité | Disponibilidad | Disponibilità | Tillgänglighet | Beschikbaarheid
Day | Dag | Tag | Dzień | Ημέρα | Jour | Día | Giorno | Dag | Dag
For at least %lld hours | I mindst %lld timer | Für mindestens %lld Stunden | Na co najmniej %lld godz. | Για τουλάχιστον %lld ώρες | Pour au moins %lld heures | Durante al menos %lld horas | Per almeno %lld ore | I minst %lld timmar | Minstens %lld uur
Services | Ydelser | Leistungen | Usługi | Υπηρεσίες | Services | Servicios | Servizi | Tjänster | Diensten
Engineer available | Tekniker til rådighed | Engineer verfügbar | Realizator dostępny | Διαθέσιμος ηχολήπτης | Ingé son disponible | Técnico disponible | Fonico disponibile | Tekniker finns | Technicus beschikbaar
e.g. U87, SM7B, Neve | fx U87, SM7B, Neve | z. B. U87, SM7B, Neve | np. U87, SM7B, Neve | π.χ. U87, SM7B, Neve | ex. U87, SM7B, Neve | p. ej. U87, SM7B, Neve | es. U87, SM7B, Neve | t.ex. U87, SM7B, Neve | bijv. U87, SM7B, Neve
%lld unread | %lld ulæste | %lld ungelesen | %lld nieprzeczytane | %lld μη αναγνωσμένα | %lld non lus | %lld sin leer | %lld non letti | %lld olästa | %lld ongelezen
1 studio wants to talk to you | 1 studie vil gerne tale med dig | 1 Studio möchte mit dir sprechen | 1 studio chce z Tobą porozmawiać | 1 στούντιο θέλει να σου μιλήσει | 1 studio veut te parler | 1 estudio quiere hablar contigo | 1 studio vuole parlarti | 1 studio vill prata med dig | 1 studio wil met je praten
%lld studios want to talk to you | %lld studier vil gerne tale med dig | %lld Studios möchten mit dir sprechen | %lld studiów chce z Tobą porozmawiać | %lld στούντιο θέλουν να σου μιλήσουν | %lld studios veulent te parler | %lld estudios quieren hablar contigo | %lld studi vogliono parlarti | %lld studior vill prata med dig | %lld studio's willen met je praten
Artists you message who haven't booked you yet see it as a request until they accept. | Kunstnere, du skriver til, og som ikke har booket dig endnu, ser det som en anmodning, indtil de accepterer. | Artists, die dich noch nicht gebucht haben, sehen deine Nachricht als Anfrage, bis sie annehmen. | Artyści, którzy jeszcze Cię nie rezerwowali, widzą Twoją wiadomość jako prośbę, dopóki jej nie zaakceptują. | Οι καλλιτέχνες που δεν σε έχουν κλείσει ακόμα βλέπουν το μήνυμά σου ως αίτημα μέχρι να το αποδεχτούν. | Les artistes qui ne t'ont pas encore réservé voient ton message comme une demande jusqu'à ce qu'ils l'acceptent. | Los artistas que aún no te han reservado ven tu mensaje como solicitud hasta que la acepten. | Gli artisti che non ti hanno ancora prenotato vedono il messaggio come richiesta finché non la accettano. | Artister som inte har bokat dig än ser ditt meddelande som en förfrågan tills de accepterar. | Artiesten die je nog niet hebben geboekt, zien je bericht als verzoek tot ze accepteren.
Artists can message you about your studio and bookings. Tap ✎ to write to an artist. | Kunstnere kan skrive til dig om dit studie og dine bookinger. Tryk på ✎ for at skrive til en kunstner. | Artists können dir zu deinem Studio und zu Buchungen schreiben. Tippe auf ✎, um einem Artist zu schreiben. | Artyści mogą pisać do Ciebie o studiu i rezerwacjach. Stuknij ✎, aby napisać do artysty. | Οι καλλιτέχνες μπορούν να σου γράψουν για το στούντιο και τις κρατήσεις. Πάτα ✎ για να γράψεις σε καλλιτέχνη. | Les artistes peuvent t'écrire au sujet de ton studio et des réservations. Touche ✎ pour écrire à un artiste. | Los artistas pueden escribirte sobre tu estudio y las reservas. Toca ✎ para escribir a un artista. | Gli artisti possono scriverti sullo studio e le prenotazioni. Tocca ✎ per scrivere a un artista. | Artister kan skriva till dig om din studio och dina bokningar. Tryck på ✎ för att skriva till en artist. | Artiesten kunnen je berichten over je studio en boekingen. Tik op ✎ om een artiest te schrijven.
Artists who booked you appear here. Search to find others by name or city. | Kunstnere, der har booket dig, vises her. Søg for at finde andre efter navn eller by. | Artists, die dich gebucht haben, erscheinen hier. Suche nach Name oder Stadt, um andere zu finden. | Tutaj pojawiają się artyści, którzy Cię rezerwowali. Wyszukaj innych po nazwie lub mieście. | Εδώ εμφανίζονται οι καλλιτέχνες που σε έχουν κλείσει. Αναζήτησε άλλους με όνομα ή πόλη. | Les artistes qui t'ont réservé apparaissent ici. Cherche les autres par nom ou ville. | Aquí aparecen los artistas que te han reservado. Busca a otros por nombre o ciudad. | Qui compaiono gli artisti che ti hanno prenotato. Cerca gli altri per nome o città. | Artister som har bokat dig visas här. Sök efter andra via namn eller stad. | Artiesten die je hebben geboekt, staan hier. Zoek anderen op naam of stad.
Keep payments and bookings inside EasySesh – you're protected by our refund policy. | Hold betalinger og bookinger i EasySesh – så er du beskyttet af vores refunderingspolitik. | Wickle Zahlungen und Buchungen über EasySesh ab – so schützt dich unsere Erstattungsrichtlinie. | Płać i rezerwuj w EasySesh – wtedy chroni Cię nasza polityka zwrotów. | Κράτα πληρωμές και κρατήσεις μέσα στο EasySesh – σε προστατεύει η πολιτική επιστροφών μας. | Garde paiements et réservations dans EasySesh – tu es protégé par notre politique de remboursement. | Mantén pagos y reservas dentro de EasySesh: te protege nuestra política de reembolso. | Tieni pagamenti e prenotazioni su EasySesh: sei protetto dalla nostra politica di rimborso. | Håll betalningar och bokningar i EasySesh – då skyddas du av vår återbetalningspolicy. | Houd betalingen en boekingen binnen EasySesh – dan ben je beschermd door ons terugbetalingsbeleid.
%@ wants to send you a message | %@ vil gerne sende dig en besked | %@ möchte dir eine Nachricht schicken | %@ chce wysłać Ci wiadomość | Το %@ θέλει να σου στείλει μήνυμα | %@ veut t'envoyer un message | %@ quiere enviarte un mensaje | %@ vuole mandarti un messaggio | %@ vill skicka ett meddelande till dig | %@ wil je een bericht sturen
Swipe left on a notification to delete it | Stryg til venstre på en notifikation for at slette den | Wische eine Mitteilung nach links, um sie zu löschen | Przesuń powiadomienie w lewo, aby je usunąć | Σύρε αριστερά μια ειδοποίηση για να τη διαγράψεις | Balaie une notification vers la gauche pour la supprimer | Desliza una notificación a la izquierda para borrarla | Scorri una notifica a sinistra per eliminarla | Svep vänster på en avisering för att radera den | Veeg een melding naar links om hem te verwijderen
Clear all | Ryd alle | Alle löschen | Wyczyść wszystko | Διαγραφή όλων | Tout effacer | Borrar todo | Cancella tutto | Rensa alla | Alles wissen
Delete all notifications? | Slet alle notifikationer? | Alle Mitteilungen löschen? | Usunąć wszystkie powiadomienia? | Διαγραφή όλων των ειδοποιήσεων; | Supprimer toutes les notifications ? | ¿Borrar todas las notificaciones? | Eliminare tutte le notifiche? | Radera alla aviseringar? | Alle meldingen verwijderen?
Delete all | Slet alle | Alle löschen | Usuń wszystko | Διαγραφή όλων | Tout supprimer | Borrar todo | Elimina tutto | Radera alla | Alles verwijderen
Delete | Slet | Löschen | Usuń | Διαγραφή | Supprimer | Eliminar | Elimina | Radera | Verwijderen
A studio wants to connect | Et studie vil gerne tilknyttes | Ein Studio möchte sich verbinden | Studio chce się połączyć | Ένα στούντιο θέλει να συνδεθεί | Un studio veut se relier | Un estudio quiere conectarse | Uno studio vuole collegarsi | En studio vill koppla ihop | Een studio wil koppelen
Confirm to show it on your profile | Bekræft for at vise det på din profil | Bestätige, um es in deinem Profil zu zeigen | Potwierdź, aby pokazać je na profilu | Επιβεβαίωσε για να εμφανίζεται στο προφίλ σου | Confirme pour l'afficher sur ton profil | Confirma para mostrarlo en tu perfil | Conferma per mostrarlo sul tuo profilo | Bekräfta för att visa den på din profil | Bevestig om het op je profiel te tonen
Public profile | Offentlig profil | Öffentliches Profil | Profil publiczny | Δημόσιο προφίλ | Profil public | Perfil público | Profilo pubblico | Offentlig profil | Openbaar profiel
Studio & ratings | Studie og bedømmelser | Studio & Bewertungen | Studio i oceny | Στούντιο και βαθμολογίες | Studio et notes | Estudio y valoraciones | Studio e valutazioni | Studio och betyg | Studio en beoordelingen
