# en | da | de | pl | el | fr | es | it | sv | nl
# Enum titles, statuses, errors and components
Extra | Ekstra | Extra | Dodatkowo | Επιπλέον | Supplément | Extra | Extra | Extra | Extra
/ hour | / time | / Stunde | / godz. | / ώρα | / heure | / hora | / ora | / timme | / uur
/ session | / session | / Session | / sesja | / συνεδρία | / session | / sesión | / sessione | / session | / sessie
/ track | / nummer | / Track | / utwór | / κομμάτι | / morceau | / pista | / brano | / låt | / track
 / hour |  / time |  / Stunde |  / godz. |  / ώρα |  / heure |  / hora |  / ora |  / timme |  / uur
Admin | Admin | Admin | Administrator | Διαχειριστής | Admin | Administrador | Admin | Admin | Beheerder
Hip-hop | Hiphop | Hip-Hop | Hip-hop | Χιπ χοπ | Hip-hop | Hip hop | Hip hop | Hiphop | Hiphop
Rap | Rap | Rap | Rap | Ραπ | Rap | Rap | Rap | Rap | Rap
R&B | R&B | R&B | R&B | R&B | R&B | R&B | R&B | R&B | R&B
Pop | Pop | Pop | Pop | Ποπ | Pop | Pop | Pop | Pop | Pop
Rock | Rock | Rock | Rock | Ροκ | Rock | Rock | Rock | Rock | Rock
Indie | Indie | Indie | Indie | Ίντι | Indé | Indie | Indie | Indie | Indie
Electronic | Elektronisk | Elektronisch | Elektronika | Ηλεκτρονική | Électro | Electrónica | Elettronica | Elektroniskt | Elektronisch
House | House | House | House | Χάους | House | House | House | House | House
Techno | Techno | Techno | Techno | Τέκνο | Techno | Techno | Techno | Techno | Techno
Jazz | Jazz | Jazz | Jazz | Τζαζ | Jazz | Jazz | Jazz | Jazz | Jazz
Soul | Soul | Soul | Soul | Σόουλ | Soul | Soul | Soul | Soul | Soul
Classical | Klassisk | Klassik | Muzyka klasyczna | Κλασική | Classique | Clásica | Classica | Klassiskt | Klassiek
Metal | Metal | Metal | Metal | Μέταλ | Metal | Metal | Metal | Metal | Metal
Punk | Punk | Punk | Punk | Πανκ | Punk | Punk | Punk | Punk | Punk
Folk | Folk | Folk | Folk | Φολκ | Folk | Folk | Folk | Folk | Folk
Afro | Afro | Afro | Afro | Άφρο | Afro | Afro | Afro | Afro | Afro
Latin | Latin | Latin | Latino | Λάτιν | Latino | Latino | Latino | Latin | Latin
Reggae | Reggae | Reggae | Reggae | Ρέγκε | Reggae | Reggae | Reggae | Reggae | Reggae
Greek / Laïká | Græsk / Laïká | Griechisch / Laïká | Grecka / Laïká | Ελληνικά / Λαϊκά | Grec / Laïká | Griega / Laïká | Greca / Laïká | Grekiskt / Laïká | Grieks / Laïká
Podcast | Podcast | Podcast | Podcast | Podcast | Podcast | Pódcast | Podcast | Podd | Podcast
Voice-over | Speak | Voice-over | Lektor | Εκφώνηση | Voix off | Locución | Voice-over | Speaker | Voice-over
Isolation booth | Isolationsboks | Isolationskabine | Kabina izolowana | Θάλαμος απομόνωσης | Cabine d'isolation | Cabina de aislamiento | Cabina di isolamento | Isoleringsbås | Isolatiecabine
Drum room | Trommerum | Drum-Raum | Pokój perkusyjny | Χώρος ντραμς | Salle de batterie | Sala de batería | Sala batteria | Trumrum | Drumruimte
Podcast setup | Podcast-opsætning | Podcast-Setup | Zestaw do podcastów | Εξοπλισμός podcast | Installation podcast | Equipo de pódcast | Set per podcast | Poddutrustning | Podcastopstelling
Video recording | Videooptagelse | Videoaufnahme | Nagrywanie wideo | Βιντεοσκόπηση | Tournage vidéo | Grabación de vídeo | Registrazione video | Videoinspelning | Video-opname
Instruments available | Instrumenter til rådighed | Instrumente vorhanden | Dostępne instrumenty | Διαθέσιμα όργανα | Instruments disponibles | Instrumentos disponibles | Strumenti disponibili | Instrument finns | Instrumenten aanwezig
Preamps | Forforstærkere | Vorverstärker | Przedwzmacniacze | Προενισχυτές | Préamplis | Previos | Preamplificatori | Förstärkare | Voorversterkers
Consoles | Mixerpulte | Mischpulte | Konsolety | Κονσόλες | Consoles | Mesas de mezcla | Mixer | Mixerbord | Mengtafels
Monitors | Monitorer | Monitore | Monitory | Ηχεία monitor | Écoutes | Monitores | Monitor | Monitorer | Monitoren
Interfaces | Lydkort | Interfaces | Interfejsy | Κάρτες ήχου | Interfaces | Interfaces | Interfacce | Ljudkort | Audio-interfaces
Outboard gear | Outboard-udstyr | Outboard-Geräte | Sprzęt outboard | Εξωτερικός εξοπλισμός | Périphériques | Equipos outboard | Outboard | Outboard-utrustning | Outboard-apparatuur
Instruments | Instrumenter | Instrumente | Instrumenty | Όργανα | Instruments | Instrumentos | Strumenti | Instrument | Instrumenten
Software | Software | Software | Oprogramowanie | Λογισμικό | Logiciels | Software | Software | Mjukvara | Software
Flexible | Fleksibel | Flexibel | Elastyczna | Ευέλικτη | Flexible | Flexible | Flessibile | Flexibel | Flexibel
Moderate | Moderat | Moderat | Umiarkowana | Μέτρια | Modérée | Moderada | Moderata | Måttlig | Gemiddeld
Strict | Streng | Streng | Surowa | Αυστηρή | Stricte | Estricta | Rigida | Strikt | Strikt
Full refund up to 24 hours before the session. | Fuld refundering op til 24 timer før sessionen. | Volle Erstattung bis 24 Stunden vor der Session. | Pełny zwrot do 24 godzin przed sesją. | Πλήρης επιστροφή έως 24 ώρες πριν τη συνεδρία. | Remboursement intégral jusqu'à 24 heures avant la session. | Reembolso completo hasta 24 horas antes de la sesión. | Rimborso completo fino a 24 ore prima della sessione. | Full återbetalning fram till 24 timmar före sessionen. | Volledige terugbetaling tot 24 uur voor de sessie.
Full refund up to 72 hours before, 50% up to 24 hours before. | Fuld refundering op til 72 timer før, 50 % op til 24 timer før. | Volle Erstattung bis 72 Stunden vorher, 50 % bis 24 Stunden vorher. | Pełny zwrot do 72 godzin przed, 50% do 24 godzin przed. | Πλήρης επιστροφή έως 72 ώρες πριν, 50% έως 24 ώρες πριν. | Remboursement intégral jusqu'à 72 heures avant, 50 % jusqu'à 24 heures avant. | Reembolso completo hasta 72 horas antes, 50 % hasta 24 horas antes. | Rimborso completo fino a 72 ore prima, 50% fino a 24 ore prima. | Full återbetalning fram till 72 timmar före, 50 % fram till 24 timmar före. | Volledige terugbetaling tot 72 uur vooraf, 50% tot 24 uur vooraf.
50% refund up to 7 days before the session. No refund after that. | 50 % refundering op til 7 dage før sessionen. Ingen refundering derefter. | 50 % Erstattung bis 7 Tage vor der Session. Danach keine Erstattung. | 50% zwrotu do 7 dni przed sesją. Później brak zwrotu. | Επιστροφή 50% έως 7 ημέρες πριν τη συνεδρία. Μετά δεν γίνεται επιστροφή. | Remboursement de 50 % jusqu'à 7 jours avant la session. Aucun remboursement ensuite. | Reembolso del 50 % hasta 7 días antes de la sesión. Después no hay reembolso. | Rimborso del 50% fino a 7 giorni prima della sessione. Poi nessun rimborso. | 50 % återbetalning fram till 7 dagar före sessionen. Ingen återbetalning därefter. | 50% terugbetaling tot 7 dagen voor de sessie. Daarna geen terugbetaling.
In dispute | Under behandling | Im Streitfall | W sporze | Σε διαφωνία | En litige | En disputa | In contestazione | Tvist pågår | In geschil
Pay cash at studio | Betal kontant i studiet | Bar im Studio zahlen | Płatność gotówką w studiu | Πληρωμή μετρητοίς στο στούντιο | Paiement en espèces au studio | Pago en efectivo en el estudio | Pagamento in contanti in studio | Betala kontant i studion | Contant betalen in de studio
Card authorised | Kort godkendt | Karte autorisiert | Karta autoryzowana | Η κάρτα εγκρίθηκε | Carte autorisée | Tarjeta autorizada | Carta autorizzata | Kort godkänt | Kaart geautoriseerd
Card | Kort | Karte | Karta | Κάρτα | Carte | Tarjeta | Carta | Kort | Kaart
On the way | På vej | Unterwegs | W drodze | Καθ' οδόν | En cours | En camino | In arrivo | På väg | Onderweg
Report user | Anmeld bruger | Nutzer melden | Zgłoś użytkownika | Αναφορά χρήστη | Signaler l'utilisateur | Denunciar usuario | Segnala utente | Anmäl användare | Gebruiker melden
Report review | Anmeld anmeldelse | Bewertung melden | Zgłoś opinię | Αναφορά κριτικής | Signaler l'avis | Denunciar reseña | Segnala recensione | Anmäl recension | Review melden
Report booking | Anmeld booking | Buchung melden | Zgłoś rezerwację | Αναφορά κράτησης | Signaler la réservation | Denunciar reserva | Segnala prenotazione | Anmäl bokning | Boeking melden
Fake profile, photos or information | Falsk profil, fotos eller oplysninger | Falsches Profil, Fotos oder Angaben | Fałszywy profil, zdjęcia lub informacje | Ψεύτικο προφίλ, φωτογραφίες ή στοιχεία | Faux profil, photos ou informations | Perfil, fotos o datos falsos | Profilo, foto o informazioni false | Falsk profil, bilder eller uppgifter | Nepprofiel, foto's of gegevens
Advertising, repeated or unwanted messages | Reklame, gentagne eller uønskede beskeder | Werbung, wiederholte oder unerwünschte Nachrichten | Reklama, powtarzające się lub niechciane wiadomości | Διαφήμιση, επαναλαμβανόμενα ή ανεπιθύμητα μηνύματα | Publicité, messages répétés ou non désirés | Publicidad, mensajes repetidos o no deseados | Pubblicità, messaggi ripetuti o indesiderati | Reklam, upprepade eller oönskade meddelanden | Reclame, herhaalde of ongewenste berichten
Insults, threats or harassment | Fornærmelser, trusler eller chikane | Beleidigungen, Drohungen oder Belästigung | Obelgi, groźby lub nękanie | Προσβολές, απειλές ή παρενόχληση | Insultes, menaces ou harcèlement | Insultos, amenazas o acoso | Insulti, minacce o molestie | Förolämpningar, hot eller trakasserier | Beledigingen, bedreigingen of intimidatie
Offensive, sexual or violent content | Stødende, seksuelt eller voldeligt indhold | Anstößige, sexuelle oder gewalttätige Inhalte | Treści obraźliwe, seksualne lub brutalne | Προσβλητικό, σεξουαλικό ή βίαιο περιεχόμενο | Contenu choquant, sexuel ou violent | Contenido ofensivo, sexual o violento | Contenuti offensivi, sessuali o violenti | Stötande, sexuellt eller våldsamt innehåll | Aanstootgevende, seksuele of gewelddadige inhoud
Asking to pay outside EasySesh, scams or stolen cards | Beder om betaling uden om EasySesh, svindel eller stjålne kort | Zahlung außerhalb von EasySesh, Betrug oder gestohlene Karten | Prośby o płatność poza EasySesh, oszustwa lub kradzione karty | Ζητά πληρωμή εκτός EasySesh, απάτες ή κλεμμένες κάρτες | Paiement hors d'EasySesh, arnaques ou cartes volées | Pedir pagos fuera de EasySesh, estafas o tarjetas robadas | Pagamenti fuori da EasySesh, truffe o carte rubate | Ber om betalning utanför EasySesh, bedrägeri eller stulna kort | Vraagt betaling buiten EasySesh, oplichting of gestolen kaarten
Didn't turn up or the studio was closed | Mødte ikke op, eller studiet var lukket | Nicht erschienen oder das Studio war geschlossen | Nie pojawił się lub studio było zamknięte | Δεν εμφανίστηκε ή το στούντιο ήταν κλειστό | Absent ou studio fermé | No se presentó o el estudio estaba cerrado | Non si è presentato o lo studio era chiuso | Dök inte upp eller studion var stängd | Kwam niet opdagen of de studio was dicht
Anything else that breaks our rules | Alt andet, der bryder vores regler | Alles andere, was gegen unsere Regeln verstößt | Cokolwiek innego, co łamie nasze zasady | Οτιδήποτε άλλο παραβιάζει τους κανόνες μας | Tout autre manquement à nos règles | Cualquier otra cosa que incumpla nuestras normas | Qualsiasi altra violazione delle nostre regole | Allt annat som bryter mot våra regler | Al het andere dat onze regels schendt
Platform fee (cash booking) | Platformgebyr (kontantbooking) | Plattformgebühr (Barbuchung) | Opłata platformy (rezerwacja gotówkowa) | Χρέωση πλατφόρμας (κράτηση με μετρητά) | Frais de plateforme (réservation en espèces) | Tarifa de plataforma (reserva en efectivo) | Commissione piattaforma (prenotazione in contanti) | Plattformsavgift (kontantbokning) | Platformkosten (contante boeking)
Deducted from payout | Trukket fra udbetaling | Von der Auszahlung abgezogen | Potrącono z wypłaty | Αφαιρέθηκε από την πληρωμή | Déduit du versement | Descontado del pago | Detratto dal pagamento | Avdraget från utbetalning | Afgetrokken van uitbetaling
Invoice paid | Faktura betalt | Rechnung bezahlt | Faktura opłacona | Το τιμολόγιο εξοφλήθηκε | Facture payée | Factura pagada | Fattura pagata | Faktura betald | Factuur betaald
Payment received | Betaling modtaget | Zahlung erhalten | Płatność otrzymana | Η πληρωμή ελήφθη | Paiement reçu | Pago recibido | Pagamento ricevuto | Betalning mottagen | Betaling ontvangen
Waived | Frafaldet | Erlassen | Umorzono | Χαρίστηκε | Annulé | Condonado | Condonato | Efterskänkt | Kwijtgescholden
This file contains the personal data EasySesh holds about you. Card numbers are held by our payment provider (Stripe) and never stored by EasySesh. | Filen indeholder de personoplysninger, EasySesh har om dig. Kortnumre opbevares af vores betalingsudbyder (Stripe) og gemmes aldrig af EasySesh. | Diese Datei enthält die personenbezogenen Daten, die EasySesh über dich speichert. Kartennummern liegen bei unserem Zahlungsanbieter (Stripe) und werden nie von EasySesh gespeichert. | Ten plik zawiera dane osobowe, które EasySesh o Tobie przechowuje. Numery kart przechowuje nasz dostawca płatności (Stripe), a EasySesh nigdy ich nie zapisuje. | Αυτό το αρχείο περιέχει τα προσωπικά δεδομένα που διατηρεί το EasySesh για σένα. Οι αριθμοί καρτών φυλάσσονται από τον πάροχο πληρωμών μας (Stripe) και δεν αποθηκεύονται ποτέ από το EasySesh. | Ce fichier contient les données personnelles qu'EasySesh détient sur toi. Les numéros de carte sont conservés par notre prestataire de paiement (Stripe) et jamais par EasySesh. | Este archivo contiene los datos personales que EasySesh guarda sobre ti. Los números de tarjeta los guarda nuestro proveedor de pagos (Stripe) y EasySesh nunca los almacena. | Questo file contiene i dati personali che EasySesh conserva su di te. I numeri di carta sono custoditi dal nostro fornitore di pagamenti (Stripe) e mai salvati da EasySesh. | Filen innehåller de personuppgifter EasySesh har om dig. Kortnummer lagras av vår betalleverantör (Stripe) och sparas aldrig av EasySesh. | Dit bestand bevat de persoonsgegevens die EasySesh over je bewaart. Kaartnummers worden bewaard door onze betaalprovider (Stripe) en nooit door EasySesh opgeslagen.
1 week | 1 uge | 1 Woche | 1 tydzień | 1 εβδομάδα | 1 semaine | 1 semana | 1 settimana | 1 vecka | 1 week
2 weeks | 2 uger | 2 Wochen | 2 tygodnie | 2 εβδομάδες | 2 semaines | 2 semanas | 2 settimane | 2 veckor | 2 weken
1 month | 1 måned | 1 Monat | 1 miesiąc | 1 μήνας | 1 mois | 1 mes | 1 mese | 1 månad | 1 maand
Promotion | Promovering | Promotion | Promocja | Προβολή | Mise en avant | Promoción | Promozione | Marknadsföring | Promotie
Debt collection | Inkasso | Inkasso | Windykacja | Είσπραξη οφειλών | Recouvrement | Cobro de deudas | Recupero crediti | Inkasso | Incasso
Overdue | Forfalden | Überfällig | Po terminie | Ληξιπρόθεσμο | En retard | Vencida | Scaduta | Förfallen | Achterstallig
Session tomorrow | Session i morgen | Session morgen | Sesja jutro | Συνεδρία αύριο | Session demain | Sesión mañana | Sessione domani | Session i morgon | Sessie morgen
Session in 2 hours | Session om 2 timer | Session in 2 Stunden | Sesja za 2 godziny | Συνεδρία σε 2 ώρες | Session dans 2 heures | Sesión en 2 horas | Sessione tra 2 ore | Session om 2 timmar | Sessie over 2 uur
%@ at %@, %@. | %@ hos %@, %@. | %@ bei %@, %@. | %@ w %@, %@. | %@ στο %@, %@. | %@ chez %@, %@. | %@ en %@, %@. | %@ presso %@, %@. | %@ hos %@, %@. | %@ bij %@, %@.
Stripe is not configured. | Stripe er ikke sat op. | Stripe ist nicht eingerichtet. | Stripe nie jest skonfigurowany. | Το Stripe δεν έχει ρυθμιστεί. | Stripe n'est pas configuré. | Stripe no está configurado. | Stripe non è configurato. | Stripe är inte konfigurerat. | Stripe is niet ingesteld.
Could not present the payment sheet. | Betalingsvinduet kunne ikke vises. | Das Zahlungsfenster konnte nicht angezeigt werden. | Nie udało się wyświetlić okna płatności. | Δεν ήταν δυνατή η εμφάνιση της πληρωμής. | Impossible d'afficher la fenêtre de paiement. | No se pudo mostrar la ventana de pago. | Impossibile mostrare la schermata di pagamento. | Betalningsfönstret kunde inte visas. | Het betaalscherm kon niet worden getoond.
Request failed. | Forespørgslen mislykkedes. | Anfrage fehlgeschlagen. | Żądanie nie powiodło się. | Το αίτημα απέτυχε. | La requête a échoué. | La solicitud ha fallado. | Richiesta non riuscita. | Begäran misslyckades. | Verzoek mislukt.
We sent you a confirmation email. Open the link, then sign in. | Vi har sendt dig en bekræftelsesmail. Åbn linket, og log derefter ind. | Wir haben dir eine Bestätigungs-E-Mail geschickt. Öffne den Link und melde dich dann an. | Wysłaliśmy Ci e-mail z potwierdzeniem. Otwórz link, a potem się zaloguj. | Σου στείλαμε email επιβεβαίωσης. Άνοιξε τον σύνδεσμο και μετά συνδέσου. | Nous t'avons envoyé un e-mail de confirmation. Ouvre le lien, puis connecte-toi. | Te hemos enviado un correo de confirmación. Abre el enlace y luego inicia sesión. | Ti abbiamo inviato un'email di conferma. Apri il link, poi accedi. | Vi har skickat ett bekräftelsemejl. Öppna länken och logga sedan in. | We hebben je een bevestigingsmail gestuurd. Open de link en log daarna in.
Please sign in to continue. | Log ind for at fortsætte. | Bitte melde dich an, um fortzufahren. | Zaloguj się, aby kontynuować. | Συνδέσου για να συνεχίσεις. | Connecte-toi pour continuer. | Inicia sesión para continuar. | Accedi per continuare. | Logga in för att fortsätta. | Log in om verder te gaan.
We couldn't find that. | Vi kunne ikke finde det. | Das konnten wir nicht finden. | Nie udało się tego znaleźć. | Δεν το βρήκαμε. | Introuvable. | No lo hemos encontrado. | Non l'abbiamo trovato. | Vi kunde inte hitta det. | Dat konden we niet vinden.
