# en | da | de | pl | el | fr | es | it | sv | nl
# Studio page, reviews, bookings, checkout, legal
Studio tour | Studierundvisning | Studio-Tour | Wycieczka po studiu | Περιήγηση στο στούντιο | Visite du studio | Tour por el estudio | Tour dello studio | Studiovisning | Studiotour
Website | Hjemmeside | Website | Strona internetowa | Ιστότοπος | Site web | Sitio web | Sito web | Webbplats | Website
Run by | Drevet af | Betrieben von | Prowadzone przez | Το διαχειρίζεται | Géré par | Dirigido por | Gestito da | Drivs av | Gerund door
Up to %lld people | Op til %lld personer | Bis zu %lld Personen | Do %lld osób | Έως %lld άτομα | Jusqu'à %lld personnes | Hasta %lld personas | Fino a %lld persone | Upp till %lld personer | Tot %lld personen
%lld sessions booked | %lld sessioner booket | %lld Sessions gebucht | %lld zarezerwowanych sesji | %lld κλεισμένες συνεδρίες | %lld sessions réservées | %lld sesiones reservadas | %lld sessioni prenotate | %lld bokade sessioner | %lld sessies geboekt
Min. %lldh | Min. %lld t | Min. %lld Std. | Min. %lld godz. | Ελάχ. %lld ώρ. | Min. %lld h | Mín. %lld h | Min. %lld h | Min. %lld h | Min. %lld u
%lld%% deposit at booking, the rest is charged after your session. | %lld %% depositum ved booking, resten trækkes efter din session. | %lld %% Anzahlung bei der Buchung, der Rest wird nach deiner Session abgebucht. | %lld%% zaliczki przy rezerwacji, reszta zostanie pobrana po sesji. | Προκαταβολή %lld%% στην κράτηση, το υπόλοιπο χρεώνεται μετά τη συνεδρία. | %lld %% d'acompte à la réservation, le reste est débité après ta session. | %lld %% de depósito al reservar, el resto se cobra después de la sesión. | Acconto del %lld%% alla prenotazione, il resto viene addebitato dopo la sessione. | %lld %% handpenning vid bokning, resten dras efter din session. | %lld%% aanbetaling bij het boeken, de rest wordt na je sessie afgeschreven.
Rules & terms | Regler og vilkår | Regeln & Bedingungen | Zasady i warunki | Κανόνες και όροι | Règles et conditions | Normas y condiciones | Regole e condizioni | Regler och villkor | Regels en voorwaarden
Cancellation: %@ | Afbestilling: %@ | Stornierung: %@ | Anulowanie: %@ | Ακύρωση: %@ | Annulation : %@ | Cancelación: %@ | Cancellazione: %@ | Avbokning: %@ | Annulering: %@
See all %lld reviews | Se alle %lld anmeldelser | Alle %lld Bewertungen ansehen | Zobacz wszystkie %lld opinii | Δες και τις %lld κριτικές | Voir les %lld avis | Ver las %lld reseñas | Vedi tutte le %lld recensioni | Visa alla %lld recensioner | Bekijk alle %lld reviews
From %@/h | Fra %@/t | Ab %@/Std. | Od %@/godz. | Από %@/ώρα | À partir de %@/h | Desde %@/h | Da %@/h | Från %@/h | Vanaf %@/u
