# en | da | de | pl | el | fr | es | it | sv | nl
# Sign-up, support, studio editor, studio dashboard, promotions
Find and book studios, pay in the app or cash, and chat with studios about your sessions. | Find og book studier, betal i appen eller kontant, og skriv med studier om dine sessioner. | Finde und buche Studios, zahle in der App oder bar und chatte mit Studios über deine Sessions. | Znajduj i rezerwuj studia, płać w aplikacji lub gotówką i pisz ze studiami o sesjach. | Βρες και κλείσε στούντιο, πλήρωσε στην εφαρμογή ή με μετρητά και μίλα με τα στούντιο για τις συνεδρίες σου. | Trouve et réserve des studios, paie dans l'app ou en espèces et discute avec les studios de tes sessions. | Encuentra y reserva estudios, paga en la app o en efectivo y chatea con los estudios sobre tus sesiones. | Trova e prenota studi, paga nell'app o in contanti e chatta con gli studi sulle tue sessioni. | Hitta och boka studior, betala i appen eller kontant och chatta med studior om dina sessioner. | Vind en boek studio's, betaal in de app of contant en chat met studio's over je sessies.
Studio accounts are separate from artist accounts. You get access to studio tools only after our team has reviewed and approved your studio. | Studiekonti er adskilt fra kunstnerkonti. Du får først adgang til studieværktøjerne, når vores team har gennemgået og godkendt dit studie. | Studio-Konten sind von Artist-Konten getrennt. Zugriff auf die Studio-Tools erhältst du erst, nachdem unser Team dein Studio geprüft und freigegeben hat. | Konta studiów są oddzielne od kont artystów. Dostęp do narzędzi studia otrzymasz dopiero po sprawdzeniu i zatwierdzeniu studia przez nasz zespół. | Οι λογαριασμοί στούντιο είναι ξεχωριστοί από τους λογαριασμούς καλλιτεχνών. Πρόσβαση στα εργαλεία στούντιο έχεις μόνο αφού η ομάδα μας ελέγξει και εγκρίνει το στούντιό σου. | Les comptes studio sont distincts des comptes artiste. Tu accèdes aux outils studio seulement après que notre équipe a examiné et validé ton studio. | Las cuentas de estudio son distintas de las de artista. Solo tendrás acceso a las herramientas de estudio cuando nuestro equipo haya revisado y aprobado tu estudio. | Gli account studio sono separati da quelli artista. Avrai accesso agli strumenti studio solo dopo che il nostro team avrà verificato e approvato lo studio. | Studiokonton är separata från artistkonton. Du får tillgång till studioverktygen först när vårt team har granskat och godkänt din studio. | Studio-accounts staan los van artiestenaccounts. Je krijgt pas toegang tot de studiotools nadat ons team je studio heeft gecontroleerd en goedgekeurd.
Hide password | Skjul adgangskode | Passwort verbergen | Ukryj hasło | Απόκρυψη κωδικού | Masquer le mot de passe | Ocultar contraseña | Nascondi password | Dölj lösenord | Wachtwoord verbergen
Show password | Vis adgangskode | Passwort anzeigen | Pokaż hasło | Εμφάνιση κωδικού | Afficher le mot de passe | Mostrar contraseña | Mostra password | Visa lösenord | Wachtwoord tonen
I accept the Terms, the Studio Agreement and the Privacy Policy | Jeg accepterer vilkårene, studieaftalen og privatlivspolitikken | Ich akzeptiere die AGB, die Studio-Vereinbarung und die Datenschutzerklärung | Akceptuję Regulamin, Umowę studia i Politykę prywatności | Αποδέχομαι τους Όρους, τη Συμφωνία Στούντιο και την Πολιτική Απορρήτου | J'accepte les Conditions, l'Accord studio et la Politique de confidentialité | Acepto los Términos, el Acuerdo de estudio y la Política de privacidad | Accetto i Termini, l'Accordo per gli studi e l'Informativa sulla privacy | Jag godkänner villkoren, studioavtalet och integritetspolicyn | Ik accepteer de Voorwaarden, de Studio-overeenkomst en het Privacybeleid
I accept the Terms and the Privacy Policy | Jeg accepterer vilkårene og privatlivspolitikken | Ich akzeptiere die AGB und die Datenschutzerklärung | Akceptuję Regulamin i Politykę prywatności | Αποδέχομαι τους Όρους και την Πολιτική Απορρήτου | J'accepte les Conditions et la Politique de confidentialité | Acepto los Términos y la Política de privacidad | Accetto i Termini e l'Informativa sulla privacy | Jag godkänner villkoren och integritetspolicyn | Ik accepteer de Voorwaarden en het Privacybeleid
Apple sign-in did not return a valid token. | Log ind med Apple gav ikke et gyldigt token. | Die Anmeldung mit Apple hat kein gültiges Token geliefert. | Logowanie przez Apple nie zwróciło prawidłowego tokenu. | Η σύνδεση με Apple δεν επέστρεψε έγκυρο token. | La connexion Apple n'a pas renvoyé de jeton valide. | El inicio de sesión con Apple no devolvió un token válido. | L'accesso con Apple non ha restituito un token valido. | Inloggning med Apple gav ingen giltig token. | Inloggen met Apple gaf geen geldig token.
Questions about a booking, a payment or your account? Send us a message and the EasySesh team will answer here. | Spørgsmål om en booking, en betaling eller din konto? Send os en besked, så svarer EasySesh-teamet her. | Fragen zu einer Buchung, einer Zahlung oder deinem Konto? Schreib uns, das EasySesh-Team antwortet hier. | Pytania o rezerwację, płatność lub konto? Napisz do nas, a zespół EasySesh odpowie tutaj. | Ερωτήσεις για κράτηση, πληρωμή ή τον λογαριασμό σου; Στείλε μας μήνυμα και η ομάδα EasySesh θα απαντήσει εδώ. | Une question sur une réservation, un paiement ou ton compte ? Écris-nous, l'équipe EasySesh te répondra ici. | ¿Dudas sobre una reserva, un pago o tu cuenta? Escríbenos y el equipo de EasySesh te responderá aquí. | Domande su una prenotazione, un pagamento o il tuo account? Scrivici e il team EasySesh risponderà qui. | Frågor om en bokning, en betalning eller ditt konto? Skicka ett meddelande så svarar EasySesh-teamet här. | Vragen over een boeking, een betaling of je account? Stuur ons een bericht, dan antwoordt het EasySesh-team hier.
%lld waiting for your rating | %lld venter på din bedømmelse | %lld warten auf deine Bewertung | %lld czeka na Twoją ocenę | %lld περιμένουν τη βαθμολογία σου | %lld en attente de ta note | %lld esperando tu valoración | %lld in attesa della tua valutazione | %lld väntar på ditt betyg | %lld wachten op je beoordeling
Unread reply | Ulæst svar | Ungelesene Antwort | Nieprzeczytana odpowiedź | Μη αναγνωσμένη απάντηση | Réponse non lue | Respuesta sin leer | Risposta non letta | Oläst svar | Ongelezen antwoord
Please don't share card numbers or passwords. The EasySesh team can see your account and bookings. | Del ikke kortnumre eller adgangskoder. EasySesh-teamet kan se din konto og dine bookinger. | Bitte teile keine Kartennummern oder Passwörter. Das EasySesh-Team sieht dein Konto und deine Buchungen. | Nie podawaj numerów kart ani haseł. Zespół EasySesh widzi Twoje konto i rezerwacje. | Μη μοιράζεσαι αριθμούς καρτών ή κωδικούς. Η ομάδα EasySesh βλέπει τον λογαριασμό και τις κρατήσεις σου. | Ne partage pas de numéros de carte ni de mots de passe. L'équipe EasySesh voit ton compte et tes réservations. | No compartas números de tarjeta ni contraseñas. El equipo de EasySesh puede ver tu cuenta y tus reservas. | Non condividere numeri di carta o password. Il team EasySesh vede il tuo account e le prenotazioni. | Dela inte kortnummer eller lösenord. EasySesh-teamet kan se ditt konto och dina bokningar. | Deel geen kaartnummers of wachtwoorden. Het EasySesh-team kan je account en boekingen zien.
This request is closed. Send a message to reopen it. | Henvendelsen er lukket. Send en besked for at åbne den igen. | Diese Anfrage ist geschlossen. Schreib eine Nachricht, um sie wieder zu öffnen. | To zgłoszenie jest zamknięte. Wyślij wiadomość, aby je ponownie otworzyć. | Το αίτημα έκλεισε. Στείλε μήνυμα για να ανοίξει ξανά. | Cette demande est clôturée. Envoie un message pour la rouvrir. | Esta solicitud está cerrada. Envía un mensaje para reabrirla. | Questa richiesta è chiusa. Invia un messaggio per riaprirla. | Ärendet är stängt. Skicka ett meddelande för att öppna det igen. | Deze aanvraag is gesloten. Stuur een bericht om hem te heropenen.
%lld of 5 stars | %lld af 5 stjerner | %lld von 5 Sternen | %lld z 5 gwiazdek | %lld από 5 αστέρια | %lld étoiles sur 5 | %lld de 5 estrellas | %lld su 5 stelle | %lld av 5 stjärnor | %lld van de 5 sterren
Fill in each section. When you're ready, submit your studio for review – our team usually replies within 1–2 business days. | Udfyld hver sektion. Når du er klar, sender du dit studie til godkendelse – vores team svarer normalt inden for 1–2 hverdage. | Fülle jeden Abschnitt aus. Wenn du bereit bist, reiche dein Studio zur Prüfung ein – unser Team antwortet meist innerhalb von 1–2 Werktagen. | Wypełnij każdą sekcję. Gdy wszystko będzie gotowe, wyślij studio do weryfikacji – zwykle odpowiadamy w ciągu 1–2 dni roboczych. | Συμπλήρωσε κάθε ενότητα. Όταν είσαι έτοιμος, υπέβαλε το στούντιο για έλεγχο – συνήθως απαντάμε σε 1–2 εργάσιμες. | Remplis chaque section. Quand tu es prêt, soumets ton studio – notre équipe répond en général sous 1 à 2 jours ouvrés. | Rellena cada sección. Cuando estés listo, envía tu estudio a revisión: solemos responder en 1–2 días laborables. | Compila ogni sezione. Quando sei pronto, invia lo studio per la verifica: di solito rispondiamo in 1–2 giorni lavorativi. | Fyll i varje avsnitt. När du är klar skickar du in studion för granskning – vi svarar oftast inom 1–2 arbetsdagar. | Vul elk onderdeel in. Ben je klaar, stuur je studio dan ter beoordeling in – we reageren meestal binnen 1–2 werkdagen.
