# en | da | de | pl | el | fr | es | it | sv | nl
About | Om | Über | O aplikacji | Σχετικά | À propos | Acerca de | Informazioni | Om | Over
Accept | Accepter | Annehmen | Akceptuj | Αποδοχή | Accepter | Aceptar | Accetta | Acceptera | Accepteren
Account | Konto | Konto | Konto | Λογαριασμός | Compte | Cuenta | Account | Konto | Account
Actions | Handlinger | Aktionen | Działania | Ενέργειες | Actions | Acciones | Azioni | Åtgärder | Acties
Add | Tilføj | Hinzufügen | Dodaj | Προσθήκη | Ajouter | Añadir | Aggiungi | Lägg till | Toevoegen
Address | Adresse | Adresse | Adres | Διεύθυνση | Adresse | Dirección | Indirizzo | Adress | Adres
All | Alle | Alle | Wszystkie | Όλα | Tout | Todo | Tutti | Alla | Alles
Any | Alle | Beliebig | Dowolne | Οποιοδήποτε | Tous | Cualquiera | Qualsiasi | Alla | Alle
Approved | Godkendt | Genehmigt | Zatwierdzone | Εγκρίθηκε | Approuvé | Aprobado | Approvato | Godkänd | Goedgekeurd
Artist | Kunstner | Künstler:in | Artysta | Καλλιτέχνης | Artiste | Artista | Artista | Artist | Artiest
Artists | Kunstnere | Künstler:innen | Artyści | Καλλιτέχνες | Artistes | Artistas | Artisti | Artister | Artiesten
Awaiting payment | Afventer betaling | Zahlung ausstehend | Oczekuje na płatność | Αναμονή πληρωμής | En attente de paiement | Pendiente de pago | In attesa di pagamento | Väntar på betalning | Wacht op betaling
Awaiting studio | Afventer studiet | Wartet auf Studio | Oczekuje na studio | Αναμονή στούντιο | En attente du studio | Esperando al estudio | In attesa dello studio | Väntar på studion | Wacht op studio
Back | Tilbage | Zurück | Wstecz | Πίσω | Retour | Atrás | Indietro | Tillbaka | Terug
Book | Book | Buchen | Zarezerwuj | Κράτηση | Réserver | Reservar | Prenota | Boka | Boeken
Booking | Booking | Buchung | Rezerwacja | Κράτηση | Réservation | Reserva | Prenotazione | Bokning | Boeking
Bookings | Bookinger | Buchungen | Rezerwacje | Κρατήσεις | Réservations | Reservas | Prenotazioni | Bokningar | Boekingen
Calendar | Kalender | Kalender | Kalendarz | Ημερολόγιο | Calendrier | Calendario | Calendario | Kalender | Agenda
Cancel | Annuller | Abbrechen | Anuluj | Ακύρωση | Annuler | Cancelar | Annulla | Avbryt | Annuleren
Cancel booking | Annuller booking | Buchung stornieren | Anuluj rezerwację | Ακύρωση κράτησης | Annuler la réservation | Cancelar reserva | Annulla prenotazione | Avboka | Boeking annuleren
Cancelled | Annulleret | Storniert | Anulowane | Ακυρώθηκε | Annulé | Cancelado | Annullato | Avbokad | Geannuleerd
Changes requested | Ændringer ønsket | Änderungen angefragt | Wymagane zmiany | Ζητήθηκαν αλλαγές | Modifications demandées | Cambios solicitados | Modifiche richieste | Ändringar begärda | Wijzigingen gevraagd
Close | Luk | Schließen | Zamknij | Κλείσιμο | Fermer | Cerrar | Chiudi | Stäng | Sluiten
Closed | Lukket | Geschlossen | Zamknięte | Κλειστό | Fermé | Cerrado | Chiuso | Stängd | Gesloten
Completed | Gennemført | Abgeschlossen | Zakończone | Ολοκληρώθηκε | Terminé | Completado | Completato | Genomförd | Voltooid
Confirmed | Bekræftet | Bestätigt | Potwierdzone | Επιβεβαιώθηκε | Confirmé | Confirmado | Confermato | Bekräftad | Bevestigd
Continue | Fortsæt | Weiter | Dalej | Συνέχεια | Continuer | Continuar | Continua | Fortsätt | Doorgaan
Copy | Kopiér | Kopieren | Kopiuj | Αντιγραφή | Copier | Copiar | Copia | Kopiera | Kopiëren
Dashboard | Oversigt | Übersicht | Pulpit | Πίνακας | Tableau de bord | Panel | Dashboard | Översikt | Overzicht
Date | Dato | Datum | Data | Ημερομηνία | Date | Fecha | Data | Datum | Datum
Decline | Afvis | Ablehnen | Odrzuć | Απόρριψη | Refuser | Rechazar | Rifiuta | Avböj | Weigeren
Declined | Afvist | Abgelehnt | Odrzucone | Απορρίφθηκε | Refusé | Rechazado | Rifiutato | Avböjd | Geweigerd
Delete | Slet | Löschen | Usuń | Διαγραφή | Supprimer | Eliminar | Elimina | Radera | Verwijderen
Deposit | Depositum | Anzahlung | Zaliczka | Προκαταβολή | Acompte | Depósito | Acconto | Handpenning | Aanbetaling
Deposit paid | Depositum betalt | Anzahlung bezahlt | Zaliczka wpłacona | Προκαταβολή πληρώθηκε | Acompte payé | Depósito pagado | Acconto pagato | Handpenning betald | Aanbetaling betaald
Description | Beskrivelse | Beschreibung | Opis | Περιγραφή | Description | Descripción | Descrizione | Beskrivning | Beschrijving
Directions | Rutevejledning | Route | Wskazówki dojazdu | Οδηγίες | Itinéraire | Cómo llegar | Indicazioni | Vägbeskrivning | Route
Discover | Opdag | Entdecken | Odkrywaj | Ανακάλυψη | Découvrir | Descubrir | Scopri | Upptäck | Ontdekken
Done | Færdig | Fertig | Gotowe | Τέλος | Terminé | Listo | Fine | Klar | Gereed
Draft | Kladde | Entwurf | Szkic | Πρόχειρο | Brouillon | Borrador | Bozza | Utkast | Concept
Duration | Varighed | Dauer | Czas trwania | Διάρκεια | Durée | Duración | Durata | Längd | Duur
Earlier | Tidligere | Früher | Wcześniej | Παλαιότερα | Plus tôt | Anteriores | Precedenti | Tidigare | Eerder
Earnings | Indtjening | Einnahmen | Zarobki | Έσοδα | Revenus | Ingresos | Guadagni | Intäkter | Inkomsten
Edit | Redigér | Bearbeiten | Edytuj | Επεξεργασία | Modifier | Editar | Modifica | Redigera | Bewerken
Edit profile | Redigér profil | Profil bearbeiten | Edytuj profil | Επεξεργασία προφίλ | Modifier le profil | Editar perfil | Modifica profilo | Redigera profil | Profiel bewerken
Email | E-mail | E-Mail | E-mail | Email | E-mail | Correo | Email | E-post | E-mail
Engineer | Tekniker | Toningenieur:in | Realizator | Ηχολήπτης | Ingé son | Técnico | Fonico | Tekniker | Technicus
Equipment | Udstyr | Ausstattung | Sprzęt | Εξοπλισμός | Équipement | Equipo | Attrezzatura | Utrustning | Apparatuur
Expired | Udløbet | Abgelaufen | Wygasło | Έληξε | Expiré | Caducado | Scaduto | Utgången | Verlopen
Failed | Mislykkedes | Fehlgeschlagen | Nieudane | Απέτυχε | Échoué | Fallido | Non riuscito | Misslyckades | Mislukt
Filters | Filtre | Filter | Filtry | Φίλτρα | Filtres | Filtros | Filtri | Filter | Filters
From | Fra | Von | Od | Από | De | Desde | Da | Från | Van
Genres | Genrer | Genres | Gatunki | Είδη | Genres | Géneros | Generi | Genrer | Genres
