# en | da | de | pl | el | fr | es | it | sv | nl
Your area | Dit område | Deine Umgebung | Twoja okolica | Η περιοχή σου | Ton secteur | Tu zona | La tua zona | Ditt område | Jouw omgeving
Results | Resultater | Ergebnisse | Wyniki | Αποτελέσματα | Résultats | Resultados | Risultati | Resultat | Resultaten
%lld studios | %lld studier | %lld Studios | %lld studiów | %lld στούντιο | %lld studios | %lld estudios | %lld studi | %lld studior | %lld studio's
Searching everywhere, sorted by distance. | Søger overalt, sorteret efter afstand. | Weltweite Suche, nach Entfernung sortiert. | Szukam wszędzie, według odległości. | Αναζήτηση παντού, ταξινόμηση κατά απόσταση. | Recherche partout, triée par distance. | Buscando en todas partes, por distancia. | Ricerca ovunque, ordinata per distanza. | Söker överallt, sorterat efter avstånd. | Overal zoeken, gesorteerd op afstand.
All studios · %lld | Alle studier · %lld | Alle Studios · %lld | Wszystkie studia · %lld | Όλα τα στούντιο · %lld | Tous les studios · %lld | Todos los estudios · %lld | Tutti gli studi · %lld | Alla studior · %lld | Alle studio's · %lld
How did we do? | Hvordan klarede vi os? | Wie waren wir? | Jak nam poszło? | Πώς τα πήγαμε; | Comment ça s'est passé ? | ¿Qué tal lo hicimos? | Come ce la siamo cavata? | Hur gick det? | Hoe hebben we het gedaan?
Rate how the EasySesh team handled your request. | Bedøm, hvordan EasySesh-teamet håndterede din henvendelse. | Bewerte, wie das EasySesh-Team deine Anfrage bearbeitet hat. | Oceń, jak zespół EasySesh obsłużył twoje zgłoszenie. | Βαθμολόγησε πώς χειρίστηκε η ομάδα το αίτημά σου. | Note la façon dont l'équipe EasySesh a traité ta demande. | Valora cómo gestionó tu solicitud el equipo de EasySesh. | Valuta come il team EasySesh ha gestito la tua richiesta. | Betygsätt hur EasySesh-teamet hanterade ditt ärende. | Beoordeel hoe het EasySesh-team je verzoek heeft afgehandeld.
Send rating | Send bedømmelse | Bewertung senden | Wyślij ocenę | Αποστολή βαθμολογίας | Envoyer la note | Enviar valoración | Invia valutazione | Skicka betyg | Beoordeling versturen
Thanks for your feedback! | Tak for din feedback! | Danke für dein Feedback! | Dziękujemy za opinię! | Ευχαριστούμε για τα σχόλια! | Merci pour ton retour ! | ¡Gracias por tu opinión! | Grazie per il feedback! | Tack för din feedback! | Bedankt voor je feedback!
Anything we could do better? (optional) | Noget vi kunne gøre bedre? (valgfrit) | Was können wir besser machen? (optional) | Co możemy poprawić? (opcjonalnie) | Κάτι που θα μπορούσαμε να βελτιώσουμε; (προαιρετικό) | Quelque chose à améliorer ? (facultatif) | ¿Algo que podamos mejorar? (opcional) | Cosa potremmo migliorare? (facoltativo) | Något vi kan göra bättre? (valfritt) | Iets wat we beter kunnen doen? (optioneel)
Rate this request | Bedøm denne henvendelse | Anfrage bewerten | Oceń to zgłoszenie | Βαθμολόγησε το αίτημα | Noter cette demande | Valorar esta solicitud | Valuta questa richiesta | Betygsätt ärendet | Dit verzoek beoordelen
Active | Aktive | Aktiv | Aktywne | Ενεργά | En cours | Activas | Attive | Aktiva | Actief
%lld waiting for your rating | %lld venter på din bedømmelse | %lld warten auf deine Bewertung | %lld czeka na twoją ocenę | %lld περιμένουν βαθμολογία | %lld en attente de ta note | %lld esperan tu valoración | %lld in attesa di valutazione | %lld väntar på ditt betyg | %lld wachten op je beoordeling
