# en | da | de | pl | el | fr | es | it | sv | nl
Change password | Skift adgangskode | Passwort ändern | Zmień hasło | Αλλαγή κωδικού | Changer le mot de passe | Cambiar contraseña | Cambia password | Byt lösenord | Wachtwoord wijzigen
New password | Ny adgangskode | Neues Passwort | Nowe hasło | Νέος κωδικός | Nouveau mot de passe | Nueva contraseña | Nuova password | Nytt lösenord | Nieuw wachtwoord
Repeat new password | Gentag ny adgangskode | Neues Passwort wiederholen | Powtórz nowe hasło | Επανάληψη νέου κωδικού | Répète le nouveau mot de passe | Repite la nueva contraseña | Ripeti la nuova password | Upprepa nytt lösenord | Herhaal nieuw wachtwoord
Save new password | Gem ny adgangskode | Neues Passwort sichern | Zapisz nowe hasło | Αποθήκευση νέου κωδικού | Enregistrer le mot de passe | Guardar nueva contraseña | Salva nuova password | Spara nytt lösenord | Nieuw wachtwoord opslaan
Password changed | Adgangskode ændret | Passwort geändert | Hasło zmienione | Ο κωδικός άλλαξε | Mot de passe modifié | Contraseña cambiada | Password cambiata | Lösenordet ändrat | Wachtwoord gewijzigd
Choose a new password for your account. | Vælg en ny adgangskode til din konto. | Wähle ein neues Passwort für dein Konto. | Wybierz nowe hasło do konta. | Επίλεξε νέο κωδικό για τον λογαριασμό σου. | Choisis un nouveau mot de passe pour ton compte. | Elige una nueva contraseña para tu cuenta. | Scegli una nuova password per il tuo account. | Välj ett nytt lösenord för ditt konto. | Kies een nieuw wachtwoord voor je account.
Use at least 10 characters with upper- and lowercase letters and a number. | Brug mindst 10 tegn med store og små bogstaver og et tal. | Mindestens 10 Zeichen mit Groß- und Kleinbuchstaben und einer Zahl. | Użyj co najmniej 10 znaków, wielkich i małych liter oraz cyfry. | Τουλάχιστον 10 χαρακτήρες με κεφαλαία, πεζά και έναν αριθμό. | Au moins 10 caractères avec majuscules, minuscules et un chiffre. | Al menos 10 caracteres con mayúsculas, minúsculas y un número. | Almeno 10 caratteri con maiuscole, minuscole e un numero. | Minst 10 tecken med stora och små bokstäver och en siffra. | Minstens 10 tekens met hoofdletters, kleine letters en een cijfer.
The passwords don't match. | Adgangskoderne er ikke ens. | Die Passwörter stimmen nicht überein. | Hasła nie są takie same. | Οι κωδικοί δεν ταιριάζουν. | Les mots de passe ne correspondent pas. | Las contraseñas no coinciden. | Le password non coincidono. | Lösenorden matchar inte. | De wachtwoorden komen niet overeen.
Get verified | Bliv verificeret | Lass dich verifizieren | Zweryfikuj konto | Επαλήθευσε τον λογαριασμό | Fais-toi vérifier | Verifícate | Fatti verificare | Bli verifierad | Laat je verifiëren
Change photo | Skift billede | Foto ändern | Zmień zdjęcie | Αλλαγή φωτογραφίας | Changer la photo | Cambiar foto | Cambia foto | Byt bild | Foto wijzigen
Studios | Studier | Studios | Studia | Στούντιο | Studios | Estudios | Studi | Studior | Studio's
History & receipts | Historik og kvitteringer | Verlauf & Belege | Historia i paragony | Ιστορικό & αποδείξεις | Historique et reçus | Historial y recibos | Cronologia e ricevute | Historik och kvitton | Geschiedenis en bonnen
Default radius | Standardradius | Standardradius | Domyślny promień | Προεπιλεγμένη ακτίνα | Rayon par défaut | Radio predeterminado | Raggio predefinito | Standardradie | Standaardstraal
Location allowed | Placering tilladt | Standort erlaubt | Lokalizacja dozwolona | Επιτρέπεται η τοποθεσία | Localisation autorisée | Ubicación permitida | Posizione consentita | Plats tillåten | Locatie toegestaan
Application | Ansøgning | Bewerbung | Zgłoszenie | Αίτηση | Candidature | Solicitud | Candidatura | Ansökan | Aanvraag
Edit listing | Redigér annonce | Profil bearbeiten | Edytuj ogłoszenie | Επεξεργασία καταχώρισης | Modifier l'annonce | Editar anuncio | Modifica annuncio | Redigera annons | Vermelding bewerken
Create your listing | Opret din annonce | Profil erstellen | Utwórz ogłoszenie | Δημιούργησε την καταχώριση | Crée ton annonce | Crea tu anuncio | Crea il tuo annuncio | Skapa din annons | Maak je vermelding
EasySesh reviews your studio | EasySesh gennemgår dit studie | EasySesh prüft dein Studio | EasySesh weryfikuje twoje studio | Το EasySesh ελέγχει το στούντιό σου | EasySesh examine ton studio | EasySesh revisa tu estudio | EasySesh verifica il tuo studio | EasySesh granskar din studio | EasySesh beoordeelt je studio
Go live – artists can find, book and pay | Gå live – kunstnere kan finde, booke og betale | Live gehen – Künstler:innen finden, buchen und bezahlen | Start – artyści mogą znaleźć, rezerwować i płacić | Live – οι καλλιτέχνες βρίσκουν, κλείνουν και πληρώνουν | En ligne – les artistes trouvent, réservent et paient | En directo – los artistas encuentran, reservan y pagan | Online – gli artisti trovano, prenotano e pagano | Live – artister hittar, bokar och betalar | Live – artiesten vinden, boeken en betalen
Message from the EasySesh team | Besked fra EasySesh-teamet | Nachricht vom EasySesh-Team | Wiadomość od zespołu EasySesh | Μήνυμα από την ομάδα EasySesh | Message de l'équipe EasySesh | Mensaje del equipo de EasySesh | Messaggio dal team EasySesh | Meddelande från EasySesh-teamet | Bericht van het EasySesh-team
Next available | Næste ledige | Nächster freier Termin | Najbliższy wolny termin | Επόμενο διαθέσιμο | Prochain créneau | Próximo disponible | Prossimo disponibile | Nästa lediga | Eerstvolgende vrije tijd
About | Om | Über | O studiu | Σχετικά | À propos | Acerca de | Informazioni | Om | Over
