# en | da | de | pl | el | fr | es | it | sv | nl
Find a studio | Find et studie | Studio finden | Znajdź studio | Βρες στούντιο | Trouver un studio | Buscar un estudio | Trova uno studio | Hitta en studio | Vind een studio
List your studio | Opret dit studie | Studio eintragen | Dodaj swoje studio | Καταχώρισε το στούντιό σου | Inscris ton studio | Publica tu estudio | Pubblica il tuo studio | Lägg upp din studio | Zet je studio online
Already have an account?  | Har du allerede en konto?  | Schon ein Konto?  | Masz już konto?  | Έχεις ήδη λογαριασμό;  | Déjà un compte ?  | ¿Ya tienes cuenta?  | Hai già un account?  | Har du redan ett konto?  | Heb je al een account? 
Studio time,\nbooked in minutes. | Studietid,\nbooket på minutter. | Studiozeit,\nin Minuten gebucht. | Czas w studiu,\nzarezerwowany w minutę. | Χρόνος στούντιο,\nκλεισμένος σε λεπτά. | Du temps de studio,\nréservé en quelques minutes. | Tiempo de estudio,\nreservado en minutos. | Tempo in studio,\nprenotato in pochi minuti. | Studiotid,\nbokad på några minuter. | Studiotijd,\ngeboekt in minuten.
Find rooms, gear and engineers near you. See real prices and availability, book and pay in one place. | Find rum, udstyr og teknikere tæt på dig. Se rigtige priser og ledige tider, book og betal ét sted. | Finde Räume, Equipment und Tontechnik in deiner Nähe. Echte Preise und Verfügbarkeit – buchen und bezahlen an einem Ort. | Znajdź sale, sprzęt i realizatorów w pobliżu. Zobacz ceny i dostępność, rezerwuj i płać w jednym miejscu. | Βρες χώρους, εξοπλισμό και ηχολήπτες κοντά σου. Δες τιμές και διαθεσιμότητα, κλείσε και πλήρωσε σε ένα σημείο. | Trouve des salles, du matériel et des ingés son près de chez toi. Prix réels, disponibilités, réservation et paiement au même endroit. | Encuentra salas, equipo y técnicos cerca de ti. Precios reales y disponibilidad, reserva y paga en un solo lugar. | Trova sale, attrezzatura e fonici vicino a te. Prezzi reali e disponibilità, prenota e paga in un unico posto. | Hitta rum, utrustning och tekniker nära dig. Se riktiga priser och lediga tider, boka och betala på ett ställe. | Vind ruimtes, apparatuur en technici bij jou in de buurt. Echte prijzen en beschikbaarheid, boeken en betalen op één plek.
Create account | Opret konto | Konto erstellen | Utwórz konto | Δημιουργία λογαριασμού | Créer un compte | Crear cuenta | Crea account | Skapa konto | Account aanmaken
Create a new account | Opret en ny konto | Neues Konto erstellen | Utwórz nowe konto | Δημιουργία νέου λογαριασμού | Créer un nouveau compte | Crear una cuenta nueva | Crea un nuovo account | Skapa ett nytt konto | Nieuw account aanmaken
I already have an account | Jeg har allerede en konto | Ich habe schon ein Konto | Mam już konto | Έχω ήδη λογαριασμό | J'ai déjà un compte | Ya tengo una cuenta | Ho già un account | Jag har redan ett konto | Ik heb al een account
Forgot password? | Glemt adgangskode? | Passwort vergessen? | Nie pamiętasz hasła? | Ξέχασες τον κωδικό; | Mot de passe oublié ? | ¿Olvidaste la contraseña? | Password dimenticata? | Glömt lösenordet? | Wachtwoord vergeten?
Continue with Google | Fortsæt med Google | Weiter mit Google | Kontynuuj z Google | Συνέχεια με Google | Continuer avec Google | Continuar con Google | Continua con Google | Fortsätt med Google | Doorgaan met Google
Or with email | Eller med e-mail | Oder mit E-Mail | Lub przez e-mail | Ή με email | Ou par e-mail | O con correo | Oppure con email | Eller med e-post | Of met e-mail
Email sent | E-mail sendt | E-Mail gesendet | E-mail wysłany | Το email στάλθηκε | E-mail envoyé | Correo enviado | Email inviata | E-post skickad | E-mail verzonden
Check your inbox for a reset link. | Tjek din indbakke for et link til nulstilling. | Sieh in deinem Posteingang nach dem Link. | Sprawdź skrzynkę – wysłaliśmy link do resetu. | Έλεγξε τα εισερχόμενα για τον σύνδεσμο επαναφοράς. | Consulte ta boîte mail pour le lien de réinitialisation. | Revisa tu correo para el enlace de restablecimiento. | Controlla la posta per il link di reimpostazione. | Kolla inkorgen efter en återställningslänk. | Kijk in je inbox voor de resetlink.
I am | Jeg er | Ich bin | Jestem | Είμαι | Je suis | Soy | Sono | Jag är | Ik ben
Studio owner | Studieejer | Studiobetreiber:in | Właściciel studia | Ιδιοκτήτης στούντιο | Propriétaire de studio | Propietario de estudio | Proprietario di studio | Studioägare | Studio-eigenaar
Artist name | Kunstnernavn | Künstlername | Nazwa artysty | Καλλιτεχνικό όνομα | Nom d'artiste | Nombre artístico | Nome d'arte | Artistnamn | Artiestennaam
City | By | Stadt | Miasto | Πόλη | Ville | Ciudad | Città | Stad | Stad
Short bio | Kort bio | Kurzbio | Krótkie bio | Σύντομο βιογραφικό | Courte bio | Biografía breve | Breve bio | Kort bio | Korte bio
Links | Links | Links | Linki | Σύνδεσμοι | Liens | Enlaces | Link | Länkar | Links
About you | Om dig | Über dich | O tobie | Σχετικά με εσένα | À propos de toi | Sobre ti | Su di te | Om dig | Over jou
Set up your artist profile | Opsæt din kunstnerprofil | Richte dein Künstlerprofil ein | Skonfiguruj profil artysty | Ρύθμισε το προφίλ καλλιτέχνη | Configure ton profil d'artiste | Configura tu perfil de artista | Configura il tuo profilo artista | Skapa din artistprofil | Stel je artiestenprofiel in
Studios see this when you book or message them. | Studier ser dette, når du booker eller skriver til dem. | Studios sehen das, wenn du buchst oder schreibst. | Studia widzą to, gdy rezerwujesz lub piszesz. | Τα στούντιο το βλέπουν όταν κλείνεις ή τους γράφεις. | Les studios le voient quand tu réserves ou leur écris. | Los estudios lo ven cuando reservas o les escribes. | Gli studi lo vedono quando prenoti o scrivi. | Studior ser detta när du bokar eller skriver till dem. | Studio's zien dit wanneer je boekt of een bericht stuurt.
Near you | Tæt på dig | In deiner Nähe | W pobliżu | Κοντά σου | Près de toi | Cerca de ti | Vicino a te | Nära dig | Bij jou in de buurt
Studio, area or city | Studie, område eller by | Studio, Viertel oder Stadt | Studio, dzielnica lub miasto | Στούντιο, περιοχή ή πόλη | Studio, quartier ou ville | Estudio, zona o ciudad | Studio, zona o città | Studio, område eller stad | Studio, wijk of stad
No studios found | Ingen studier fundet | Keine Studios gefunden | Nie znaleziono studiów | Δεν βρέθηκαν στούντιο | Aucun studio trouvé | No se encontraron estudios | Nessuno studio trovato | Inga studior hittades | Geen studio's gevonden
Try widening your filters or search area. | Prøv at udvide dine filtre eller søgeområde. | Erweitere deine Filter oder den Suchbereich. | Spróbuj poszerzyć filtry lub obszar wyszukiwania. | Δοκίμασε να διευρύνεις φίλτρα ή περιοχή. | Élargis tes filtres ou ta zone de recherche. | Amplía los filtros o la zona de búsqueda. | Prova ad ampliare filtri o zona di ricerca. | Försök bredda filter eller sökområde. | Verruim je filters of zoekgebied.
Clear filters | Ryd filtre | Filter zurücksetzen | Wyczyść filtry | Εκκαθάριση φίλτρων | Effacer les filtres | Quitar filtros | Cancella filtri | Rensa filter | Filters wissen
Show list | Vis liste | Liste zeigen | Pokaż listę | Εμφάνιση λίστας | Afficher la liste | Ver lista | Mostra elenco | Visa lista | Lijst tonen
Show map | Vis kort | Karte zeigen | Pokaż mapę | Εμφάνιση χάρτη | Afficher la carte | Ver mapa | Mostra mappa | Visa karta | Kaart tonen
Show results | Vis resultater | Ergebnisse zeigen | Pokaż wyniki | Εμφάνιση αποτελεσμάτων | Afficher les résultats | Ver resultados | Mostra risultati | Visa resultat | Resultaten tonen
Nearest | Nærmeste | Nächste | Najbliższe | Πλησιέστερα | Les plus proches | Más cercanos | Più vicini | Närmast | Dichtstbij
Cheapest | Billigste | Günstigste | Najtańsze | Φθηνότερα | Les moins chers | Más baratos | Più economici | Billigast | Goedkoopst
Top rated | Bedst bedømt | Top bewertet | Najwyżej oceniane | Κορυφαία | Les mieux notés | Mejor valorados | Più votati | Högst betyg | Best beoordeeld
Most popular | Mest populære | Am beliebtesten | Najpopularniejsze | Δημοφιλέστερα | Les plus populaires | Más populares | Più popolari | Populärast | Populairst
Distance | Afstand | Entfernung | Odległość | Απόσταση | Distance | Distancia | Distanza | Avstånd | Afstand
Max price per hour | Maks. pris pr. time | Max. Preis pro Stunde | Maks. cena za godzinę | Μέγιστη τιμή ανά ώρα | Prix max par heure | Precio máx. por hora | Prezzo max all'ora | Maxpris per timme | Max. prijs per uur
Minimum rating | Minimum bedømmelse | Mindestbewertung | Minimalna ocena | Ελάχιστη βαθμολογία | Note minimale | Valoración mínima | Valutazione minima | Lägsta betyg | Minimale beoordeling
Available on a specific day | Ledig på en bestemt dag | An einem bestimmten Tag frei | Dostępne w konkretny dzień | Διαθέσιμο σε συγκεκριμένη μέρα | Disponible un jour précis | Disponible un día concreto | Disponibile in un giorno preciso | Ledig en viss dag | Beschikbaar op een specifieke dag
Instant book only | Kun straksbooking | Nur Sofortbuchung | Tylko natychmiastowa rezerwacja | Μόνο άμεση κράτηση | Réservation instantanée uniquement | Solo reserva inmediata | Solo prenotazione immediata | Endast direktbokning | Alleen direct boeken
Instant book | Straksbooking | Sofort buchen | Rezerwacja natychmiastowa | Άμεση κράτηση | Réservation instantanée | Reserva inmediata | Prenotazione immediata | Direktbokning | Direct boeken
Facilities | Faciliteter | Ausstattung | Udogodnienia | Παροχές | Équipements | Instalaciones | Servizi | Faciliteter | Faciliteiten
Microphones | Mikrofoner | Mikrofone | Mikrofony | Μικρόφωνα | Micros | Micrófonos | Microfoni | Mikrofoner | Microfoons
