# en | da | de | pl | el | fr | es | it | sv | nl
# Booking settings tile, connection requests in the inbox
Booking settings | Booking-indstillinger | Buchungseinstellungen | Ustawienia rezerwacji | Ρυθμίσεις κρατήσεων | Paramètres de réservation | Ajustes de reserva | Impostazioni prenotazione | Bokningsinställningar | Boekingsinstellingen
Booking settings & rules | Booking-indstillinger og regler | Buchungseinstellungen & Regeln | Ustawienia rezerwacji i zasady | Ρυθμίσεις κρατήσεων & κανόνες | Réservation & règles | Ajustes de reserva y normas | Prenotazione e regole | Bokningsinställningar & regler | Boekingsinstellingen & regels
You approve (24h) | Du godkender (24 t) | Du bestätigst (24 Std.) | Ty zatwierdzasz (24 h) | Εγκρίνεις εσύ (24ω) | Tu valides (24 h) | Tú apruebas (24 h) | Approvi tu (24 h) | Du godkänner (24 h) | Jij keurt goed (24 u)
Tap to connect or decline | Tryk for at forbinde eller afvise | Tippen zum Verbinden oder Ablehnen | Stuknij, aby połączyć lub odrzucić | Πάτησε για σύνδεση ή απόρριψη | Touche pour accepter ou refuser | Toca para conectar o rechazar | Tocca per collegare o rifiutare | Tryck för att koppla eller avböja | Tik om te koppelen of te weigeren
# Payout screen: bank details in the app, identity check with Stripe
Bank added – confirm your identity to receive payouts | Bank tilføjet – bekræft din identitet for at modtage udbetalinger | Bank hinzugefügt – bestätige deine Identität, um Auszahlungen zu erhalten | Bank dodany – potwierdź tożsamość, aby otrzymywać wypłaty | Η τράπεζα προστέθηκε – επιβεβαίωσε την ταυτότητά σου για να λαμβάνεις πληρωμές | Banque ajoutée – confirme ton identité pour recevoir les virements | Banco añadido – confirma tu identidad para recibir pagos | Banca aggiunta – conferma la tua identità per ricevere i pagamenti | Bank tillagd – bekräfta din identitet för att få utbetalningar | Bank toegevoegd – bevestig je identiteit om uitbetalingen te ontvangen
Bank account •••• %@ | Bankkonto •••• %@ | Bankkonto •••• %@ | Konto bankowe •••• %@ | Τραπεζικός λογαριασμός •••• %@ | Compte bancaire •••• %@ | Cuenta bancaria •••• %@ | Conto bancario •••• %@ | Bankkonto •••• %@ | Bankrekening •••• %@
Change | Skift | Ändern | Zmień | Αλλαγή | Modifier | Cambiar | Cambia | Ändra | Wijzigen
IBAN, e.g. DK50 0040 0440 1162 43 | IBAN, fx DK50 0040 0440 1162 43 | IBAN, z. B. DK50 0040 0440 1162 43 | IBAN, np. DK50 0040 0440 1162 43 | IBAN, π.χ. DK50 0040 0440 1162 43 | IBAN, ex. DK50 0040 0440 1162 43 | IBAN, p. ej. DK50 0040 0440 1162 43 | IBAN, es. DK50 0040 0440 1162 43 | IBAN, t.ex. DK50 0040 0440 1162 43 | IBAN, bijv. DK50 0040 0440 1162 43
Check the IBAN – it doesn't look right yet. | Tjek IBAN – det ser ikke rigtigt ud endnu. | Prüfe die IBAN – sie sieht noch nicht richtig aus. | Sprawdź IBAN – jeszcze nie wygląda poprawnie. | Έλεγξε το IBAN – δεν φαίνεται σωστό ακόμα. | Vérifie l'IBAN – il ne semble pas encore correct. | Revisa el IBAN – aún no parece correcto. | Controlla l'IBAN – non sembra ancora corretto. | Kontrollera IBAN – det ser inte rätt ut än. | Controleer de IBAN – die klopt nog niet.
Save bank account | Gem bankkonto | Bankkonto speichern | Zapisz konto bankowe | Αποθήκευση λογαριασμού | Enregistrer le compte | Guardar cuenta bancaria | Salva conto bancario | Spara bankkonto | Bankrekening opslaan
